sample_id,latitude,longitude,state,district,soil_type,sample_date,pH,N_kg_ha,P_kg_ha,K_kg_ha,Organic_Carbon_pct,Bulk_Density_g_cm3,Moisture_pct,Texture_Sand_pct,Texture_Silt_pct,Texture_Clay_pct,CEC_cmol_kg,EC_dS_m,S2_B2,S2_B3,S2_B4,S2_B8,S2_B11,S2_B12,S2_NDVI,S2_SAVI,S2_BSI
12,30.9142,75.8445,Punjab,Ludhiana,alluvial,2022-12-26,6.55,270.4,19.37,264.3,0.33,1.39,35.3,38.0,34.4,27.6,13.85,0.43,0.0491,0.0792,0.1007,0.1268,0.0862,0.0302,0.1147,0.0538,-0.0505
13,30.9601,75.7719,Punjab,Ludhiana,alluvial,2023-05-07,7.87,213.3,19.11,393.9,0.48,1.37,26.3,53.1,30.0,16.9,10.0,0.37,0.054,0.089,0.0952,0.1696,0.13,0.0603,0.281,0.1459,-0.0514
14,30.803,75.7687,Punjab,Ludhiana,alluvial,2024-05-06,6.52,278.0,22.55,229.4,0.54,1.55,28.4,36.4,45.8,17.8,13.04,0.31,0.051,0.0658,0.0999,0.153,0.1217,0.0475,0.21,0.1058,-0.0251
15,30.9461,75.9067,Punjab,Ludhiana,alluvial,2025-12-05,6.41,179.7,23.75,435.5,0.48,1.44,35.9,60.3,15.1,24.6,14.08,0.36,0.0433,0.0686,0.0993,0.129,0.0732,0.0206,0.1301,0.0612,-0.0957
16,30.9016,75.9203,Punjab,Ludhiana,alluvial,2022-04-20,6.96,164.0,16.11,475.8,0.39,1.51,32.1,32.0,48.6,19.4,10.0,0.17,0.0504,0.0797,0.0963,0.1386,0.0997,0.0301,0.1801,0.0863,-0.0545
17,30.8522,75.8839,Punjab,Ludhiana,alluvial,2023-11-08,7.42,231.5,9.39,397.2,0.33,1.52,36.3,44.1,23.6,32.2,14.5,0.24,0.05,0.0741,0.0971,0.1258,0.0708,0.0153,0.1288,0.0596,-0.1014
18,30.9012,75.7765,Punjab,Ludhiana,alluvial,2024-11-03,8.01,282.1,18.56,368.9,0.42,1.38,27.7,52.6,29.8,17.6,10.0,0.31,0.0523,0.077,0.1073,0.1638,0.1347,0.0584,0.2084,0.1099,-0.0037
19,30.9327,75.9378,Punjab,Ludhiana,alluvial,2025-05-09,7.4,258.3,19.12,202.3,0.7,1.6,35.8,35.5,42.1,22.4,17.53,0.24,0.0438,0.0634,0.0754,0.1173,0.0687,0.0282,0.2174,0.0907,-0.1558
20,30.9692,75.7685,Punjab,Ludhiana,alluvial,2022-12-27,7.65,236.7,18.78,279.2,0.35,1.5,24.5,49.4,33.5,17.1,10.0,0.42,0.057,0.0884,0.1157,0.1711,0.154,0.0796,0.1932,0.1056,0.0357
21,30.9808,75.8591,Punjab,Ludhiana,alluvial,2023-11-19,7.68,191.9,15.27,202.9,0.42,1.37,30.4,57.0,27.9,15.1,10.0,0.41,0.0564,0.0742,0.112,0.1444,0.1136,0.0562,0.1264,0.0643,0.0027
22,30.912,75.9249,Punjab,Ludhiana,alluvial,2024-05-08,8.04,286.2,14.08,404.6,0.55,1.55,27.3,31.5,44.9,23.6,11.86,0.26,0.0458,0.0733,0.102,0.1516,0.1103,0.0538,0.1956,0.0987,-0.0435
23,30.8534,75.9075,Punjab,Ludhiana,alluvial,2025-04-13,7.61,163.8,23.82,440.7,0.69,1.61,37.7,58.4,7.1,34.5,19.32,0.39,0.0373,0.0663,0.0807,0.1218,0.0541,0.01,0.203,0.0878,-0.199
24,30.9729,75.9434,Punjab,Ludhiana,alluvial,2022-11-12,6.88,224.4,11.87,207.1,0.69,1.41,36.3,37.8,30.0,32.2,20.0,0.25,0.0465,0.0575,0.0861,0.1227,0.0569,0.0146,0.1753,0.0775,-0.1727
25,30.8869,75.8957,Punjab,Ludhiana,alluvial,2023-11-14,6.58,288.1,11.04,488.8,0.59,1.43,30.3,64.3,12.7,23.0,17.16,0.18,0.0506,0.0778,0.0924,0.1411,0.1031,0.0413,0.2086,0.0996,-0.0614
26,30.9341,75.8228,Punjab,Ludhiana,alluvial,2024-04-22,7.59,193.6,23.73,361.5,0.57,1.57,31.0,43.5,31.3,25.2,12.39,0.37,0.0499,0.0747,0.0939,0.1425,0.099,0.0336,0.2056,0.099,-0.0713
27,30.933,75.8258,Punjab,Ludhiana,alluvial,2025-05-20,7.22,286.1,13.55,409.2,0.71,1.52,24.2,53.2,19.3,27.5,18.46,0.21,0.0601,0.0786,0.0956,0.1685,0.1173,0.0624,0.276,0.1431,-0.0772
28,30.9587,75.942,Punjab,Ludhiana,alluvial,2022-05-22,7.72,187.2,13.48,332.5,0.56,1.55,26.3,59.2,17.7,23.1,14.95,0.3,0.0585,0.075,0.1103,0.166,0.1269,0.0669,0.2016,0.1076,-0.0182
29,30.895,75.9199,Punjab,Ludhiana,alluvial,2023-04-15,7.71,265.1,11.82,259.7,0.34,1.36,26.0,52.2,22.5,25.3,15.34,0.22,0.0553,0.0811,0.1087,0.1676,0.1374,0.0688,0.2132,0.1138,-0.003
30,30.885,75.7852,Punjab,Ludhiana,alluvial,2024-12-02,6.82,224.7,8.09,425.3,0.49,1.58,32.7,36.8,35.6,27.6,17.24,0.18,0.0494,0.0762,0.0962,0.1431,0.0907,0.0452,0.196,0.0952,-0.0883
31,30.9784,75.8353,Punjab,Ludhiana,alluvial,2025-12-06,7.29,222.0,13.39,426.6,0.55,1.48,24.0,34.2,32.4,33.3,19.89,0.39,0.0567,0.076,0.1017,0.1701,0.1314,0.0688,0.2517,0.1329,-0.0352
32,30.8543,75.8139,Punjab,Ludhiana,alluvial,2022-04-05,7.67,247.7,18.65,282.4,0.63,1.37,25.8,39.1,36.4,24.5,15.55,0.24,0.053,0.0756,0.097,0.1512,0.1183,0.0606,0.2184,0.1087,-0.0356
33,30.9892,75.7539,Punjab,Ludhiana,alluvial,2023-12-16,6.99,211.4,9.06,449.9,0.37,1.47,24.0,35.3,42.0,22.7,12.99,0.38,0.0581,0.0793,0.1149,0.1767,0.1436,0.0767,0.2119,0.1171,0.0035
34,30.8872,75.7558,Punjab,Ludhiana,alluvial,2024-11-22,7.15,282.2,17.28,381.0,0.3,1.42,33.7,56.4,21.6,22.0,13.77,0.22,0.0518,0.0716,0.1049,0.144,0.1014,0.0365,0.1571,0.0783,-0.0411
35,30.8271,75.8423,Punjab,Ludhiana,alluvial,2025-04-09,7.44,176.7,14.7,369.3,0.61,1.36,29.2,35.8,41.1,23.1,11.81,0.34,0.0419,0.0684,0.1001,0.1482,0.1076,0.0629,0.1937,0.0964,-0.047
36,31.0,75.82,Punjab,Ludhiana,alluvial,2022-04-25,7.68,208.7,12.29,224.6,0.47,1.36,33.0,41.4,39.3,19.2,13.56,0.31,0.0515,0.0787,0.1022,0.1393,0.0913,0.0353,0.1536,0.0751,-0.0625
37,30.8512,75.8238,Punjab,Ludhiana,alluvial,2023-04-25,7.41,278.0,16.05,234.3,0.73,1.63,25.6,31.1,53.1,15.8,10.35,0.29,0.0448,0.0718,0.0948,0.1546,0.1287,0.0451,0.2398,0.1197,-0.0242
38,30.9254,75.7704,Punjab,Ludhiana,alluvial,2024-11-28,7.52,203.3,14.74,414.5,0.67,1.37,22.7,33.8,31.9,34.3,20.0,0.36,0.0554,0.0699,0.1016,0.1735,0.1306,0.0591,0.2614,0.1391,-0.0439
39,30.898,75.8367,Punjab,Ludhiana,alluvial,2025-11-21,7.28,164.8,9.17,394.3,0.61,1.35,31.5,57.9,11.0,31.1,19.8,0.28,0.0445,0.0754,0.0924,0.142,0.092,0.0302,0.2116,0.1013,-0.0925
40,30.9185,75.8145,Punjab,Ludhiana,alluvial,2022-05-27,7.47,233.1,23.63,432.4,0.7,1.49,24.8,35.4,40.5,24.2,16.33,0.4,0.0609,0.0785,0.0903,0.1602,0.1176,0.0615,0.279,0.1397,-0.0721
41,30.8517,75.8059,Punjab,Ludhiana,alluvial,2023-11-18,7.49,240.2,16.4,297.5,0.72,1.5,34.4,45.8,33.6,20.6,12.98,0.26,0.0396,0.0648,0.0897,0.1283,0.0685,0.0193,0.1771,0.0806,-0.1367
42,30.8443,75.8884,Punjab,Ludhiana,alluvial,2024-11-22,7.73,220.0,18.98,347.2,0.3,1.59,32.7,33.0,33.0,34.0,19.91,0.18,0.0487,0.0733,0.111,0.1428,0.093,0.0394,0.1253,0.0633,-0.044
43,30.8239,75.8572,Punjab,Ludhiana,alluvial,2025-05-07,6.95,260.8,12.61,275.4,0.56,1.39,28.4,48.6,27.0,24.5,16.26,0.21,0.0611,0.0809,0.0934,0.1507,0.1179,0.0448,0.2347,0.1155,-0.0439
44,30.9068,75.8049,Punjab,Ludhiana,alluvial,2022-04-18,6.9,226.9,11.3,268.2,0.4,1.4,36.5,55.4,20.0,24.7,12.04,0.15,0.0498,0.0752,0.0904,0.126,0.0593,0.0111,0.1645,0.0745,-0.1583
45,30.9723,75.7728,Punjab,Ludhiana,alluvial,2023-04-13,6.43,170.4,16.14,302.2,0.43,1.64,33.9,52.3,13.8,33.9,17.45,0.23,0.0478,0.0673,0.1062,0.1285,0.0848,0.0275,0.095,0.0455,-0.0438
46,30.9237,75.9051,Punjab,Ludhiana,alluvial,2024-12-15,8.01,268.8,12.22,367.4,0.52,1.47,23.8,54.0,19.4,26.5,13.24,0.33,0.0623,0.0755,0.1161,0.1744,0.1326,0.0713,0.2007,0.1106,-0.0113
47,30.8162,75.798,Punjab,Ludhiana,alluvial,2025-04-06,6.46,239.8,9.69,428.8,0.71,1.54,28.9,50.6,28.5,20.9,16.6,0.23,0.0486,0.0684,0.0955,0.1445,0.1019,0.0453,0.2042,0.0993,-0.0642
48,30.925,75.8822,Punjab,Ludhiana,alluvial,2022-05-14,7.64,185.5,15.72,406.2,0.3,1.63,25.0,50.8,25.2,24.0,14.61,0.39,0.0664,0.0815,0.1277,0.1673,0.1458,0.0769,0.1342,0.0747,0.0503
49,30.8937,75.8108,Punjab,Ludhiana,alluvial,2023-12-09,6.53,174.4,18.12,447.3,0.35,1.63,24.5,35.2,45.3,19.5,12.85,0.28,0.0581,0.082,0.1124,0.1709,0.1446,0.0795,0.2065,0.112,0.012
50,30.9902,75.9499,Punjab,Ludhiana,alluvial,2024-11-19,6.94,217.0,9.55,488.6,0.53,1.6,21.9,32.8,42.3,24.9,13.56,0.32,0.0569,0.0792,0.1148,0.1779,0.1513,0.0801,0.2156,0.1194,0.0156
51,30.8667,75.884,Punjab,Ludhiana,alluvial,2025-05-11,6.74,277.6,18.79,347.5,0.32,1.38,31.3,46.5,23.4,30.1,17.22,0.25,0.0485,0.0762,0.109,0.1518,0.1072,0.0421,0.1641,0.0844,-0.0348
52,30.965,75.7502,Punjab,Ludhiana,alluvial,2022-12-14,6.47,260.9,12.29,234.8,0.49,1.58,27.7,53.2,21.9,24.9,12.43,0.41,0.0594,0.0766,0.1088,0.1584,0.1182,0.0592,0.1856,0.097,-0.0245
53,30.8058,75.876,Punjab,Ludhiana,alluvial,2023-05-23,6.52,214.2,10.23,286.4,0.32,1.61,28.5,51.8,22.8,25.4,12.97,0.3,0.0593,0.0869,0.1169,0.1618,0.128,0.0542,0.1611,0.0865,0.0064
54,30.9018,75.8047,Punjab,Ludhiana,alluvial,2024-12-16,7.98,289.4,10.0,449.6,0.37,1.5,22.2,49.3,24.7,26.0,14.64,0.36,0.0607,0.088,0.1187,0.1887,0.1531,0.0941,0.2277,0.13,0.0057
55,30.9015,75.9141,Punjab,Ludhiana,alluvial,2025-11-24,7.91,224.9,12.7,437.0,0.41,1.47,35.9,43.4,30.5,26.0,17.25,0.43,0.0429,0.0658,0.1017,0.1303,0.0813,0.0219,0.1233,0.0586,-0.0694
56,30.8377,75.8895,Punjab,Ludhiana,alluvial,2022-12-08,7.33,176.7,17.38,363.0,0.43,1.49,29.0,65.0,8.3,26.7,14.58,0.25,0.0533,0.0755,0.1071,0.1553,0.1201,0.0489,0.1837,0.0948,-0.0175
57,30.8252,75.9431,Punjab,Ludhiana,alluvial,2023-11-28,7.01,287.2,21.47,395.6,0.69,1.4,29.7,41.1,35.6,23.2,17.97,0.44,0.0433,0.0696,0.097,0.1393,0.094,0.0404,0.179,0.0862,-0.069
58,30.9247,75.8295,Punjab,Ludhiana,alluvial,2024-04-28,6.68,157.2,24.49,222.4,0.35,1.58,35.8,33.5,34.6,31.9,20.0,0.23,0.0493,0.0695,0.0938,0.1278,0.0728,0.0125,0.1534,0.0707,-0.11
59,30.8575,75.7955,Punjab,Ludhiana,alluvial,2025-04-14,7.92,241.9,17.2,385.2,0.45,1.42,36.8,48.7,22.8,28.5,16.4,0.36,0.0431,0.069,0.0949,0.1299,0.0757,0.0134,0.1557,0.0724,-0.1033
60,30.8488,75.8324,Punjab,Ludhiana,alluvial,2022-05-06,6.86,184.3,13.51,216.8,0.74,1.46,24.0,54.6,15.2,30.2,15.26,0.28,0.0505,0.0709,0.1011,0.1637,0.122,0.0532,0.2364,0.1228,-0.0441
61,30.8931,75.8075,Punjab,Ludhiana,alluvial,2023-05-03,7.42,222.8,18.84,337.9,0.38,1.55,31.9,43.4,29.4,27.2,13.83,0.42,0.054,0.0848,0.1023,0.1457,0.105,0.0357,0.175,0.087,-0.0425
62,30.9144,75.865,Punjab,Ludhiana,alluvial,2024-11-01,6.83,215.4,11.39,315.4,0.5,1.49,31.4,50.6,27.5,21.9,15.31,0.22,0.0507,0.0744,0.0996,0.1396,0.0997,0.0402,0.1672,0.0812,-0.0485
63,30.9598,75.8714,Punjab,Ludhiana,alluvial,2025-11-08,7.62,256.9,18.31,349.0,0.74,1.62,32.0,39.6,32.2,28.2,14.57,0.24,0.0518,0.0716,0.0998,0.1276,0.0881,0.0298,0.1223,0.0573,-0.0498
64,30.9159,75.8965,Punjab,Ludhiana,alluvial,2022-04-10,7.81,249.5,23.36,393.9,0.59,1.44,33.7,53.7,18.9,27.4,17.49,0.28,0.0576,0.0659,0.0891,0.129,0.0718,0.0228,0.1829,0.0833,-0.13
65,30.9935,75.809,Punjab,Ludhiana,alluvial,2023-11-26,7.03,275.7,12.63,249.4,0.45,1.62,33.6,37.0,39.7,23.3,13.9,0.43,0.0449,0.0738,0.0991,0.1428,0.0945,0.0259,0.1807,0.0884,-0.0701
66,30.8028,75.8573,Punjab,Ludhiana,alluvial,2024-12-12,7.66,271.0,24.44,441.4,0.35,1.46,37.0,34.9,30.8,34.3,20.0,0.39,0.0431,0.0738,0.0886,0.1311,0.0788,0.0115,0.1934,0.0886,-0.1155
67,30.8443,75.7626,Punjab,Ludhiana,alluvial,2025-12-23,6.56,288.6,8.43,465.3,0.6,1.52,35.6,50.5,21.1,28.4,15.4,0.42,0.0367,0.0747,0.0901,0.1297,0.0643,0.0146,0.1802,0.0825,-0.1519
68,30.9486,75.9392,Punjab,Ludhiana,alluvial,2022-12-19,7.25,197.8,23.08,240.7,0.44,1.49,36.1,34.9,41.9,23.2,11.55,0.35,0.0468,0.0703,0.0912,0.1263,0.0711,0.017,0.1614,0.0734,-0.1194
69,30.9711,75.7699,Punjab,Ludhiana,alluvial,2023-11-18,7.07,227.2,8.56,311.2,0.63,1.48,22.9,44.5,37.4,18.1,14.42,0.44,0.054,0.0827,0.1104,0.1658,0.1291,0.0756,0.2006,0.1071,-0.013
70,30.8101,75.8167,Punjab,Ludhiana,alluvial,2024-05-26,7.97,295.3,9.56,263.6,0.71,1.54,26.8,32.1,40.0,27.9,19.74,0.44,0.0503,0.0692,0.105,0.1512,0.1157,0.0491,0.1803,0.0916,-0.0232
71,30.8289,75.776,Punjab,Ludhiana,alluvial,2025-11-26,7.87,187.9,10.51,470.2,0.55,1.35,24.2,56.8,26.8,16.4,10.21,0.41,0.0649,0.0907,0.108,0.1771,0.1395,0.0749,0.2424,0.132,-0.019
72,30.9491,75.8452,Punjab,Ludhiana,alluvial,2022-11-17,6.83,262.3,10.96,215.7,0.38,1.57,21.1,30.9,40.9,28.2,14.88,0.31,0.0537,0.0912,0.1224,0.1762,0.156,0.0774,0.1802,0.1011,0.0415
73,30.9695,75.8353,Punjab,Ludhiana,alluvial,2023-04-16,7.93,258.4,13.13,393.0,0.57,1.36,31.5,37.8,38.2,24.0,15.8,0.45,0.0469,0.0759,0.1039,0.1387,0.1033,0.0283,0.1434,0.0703,-0.027
74,30.859,75.8511,Punjab,Ludhiana,alluvial,2024-12-04,6.59,179.8,17.95,413.6,0.62,1.46,26.9,61.5,14.7,23.9,15.79,0.33,0.0428,0.0768,0.1046,0.1596,0.1054,0.052,0.2082,0.108,-0.0658
75,30.9459,75.8125,Punjab,Ludhiana,alluvial,2025-11-22,7.84,236.2,23.1,324.1,0.66,1.6,35.8,52.9,29.8,17.3,11.59,0.27,0.0374,0.0693,0.0897,0.1168,0.0681,0.0114,0.1312,0.0575,-0.11
76,30.9913,75.8623,Punjab,Ludhiana,alluvial,2022-04-14,6.56,168.6,20.66,311.8,0.41,1.39,29.2,54.0,11.9,34.1,18.59,0.17,0.0525,0.084,0.1007,0.1587,0.1108,0.0442,0.2236,0.1146,-0.0604
77,30.8448,75.7716,Punjab,Ludhiana,alluvial,2023-11-04,8.05,254.9,13.98,373.4,0.46,1.41,35.5,56.3,15.4,28.3,17.11,0.35,0.0473,0.0665,0.0928,0.1229,0.088,0.02,0.1395,0.0631,-0.0576
78,30.8535,75.7861,Punjab,Ludhiana,alluvial,2024-11-11,7.76,294.5,18.93,207.9,0.64,1.63,36.0,58.3,15.3,26.5,17.2,0.4,0.0412,0.0681,0.0888,0.121,0.0721,0.0194,0.1535,0.068,-0.1108
79,30.8315,75.8123,Punjab,Ludhiana,alluvial,2025-11-25,7.67,166.3,9.56,359.1,0.46,1.46,31.2,35.0,46.4,18.6,13.79,0.29,0.0472,0.0718,0.0983,0.1308,0.0958,0.0468,0.1419,0.0669,-0.0412
80,30.8431,75.8525,Punjab,Ludhiana,alluvial,2022-11-14,6.44,266.0,15.53,327.2,0.72,1.53,24.7,60.9,12.2,26.9,14.22,0.27,0.059,0.0749,0.1044,0.1662,0.1347,0.0619,0.2284,0.1203,-0.0146
81,30.9528,75.8079,Punjab,Ludhiana,alluvial,2023-04-01,6.8,196.7,8.93,261.3,0.35,1.63,29.3,50.8,20.7,28.6,19.14,0.38,0.0536,0.0765,0.1004,0.1581,0.1137,0.0433,0.2232,0.1141,-0.0531
82,30.892,75.7656,Punjab,Ludhiana,alluvial,2024-11-19,7.35,189.3,14.02,319.1,0.52,1.57,29.9,34.5,41.9,23.6,15.4,0.28,0.0464,0.0691,0.1077,0.1499,0.1061,0.0508,0.1638,0.0836,-0.0363
83,30.8873,75.7712,Punjab,Ludhiana,alluvial,2025-12-19,8.04,212.6,24.11,338.0,0.49,1.56,25.8,52.4,24.5,23.1,12.17,0.26,0.0544,0.0767,0.1156,0.1697,0.1247,0.0614,0.1896,0.1033,-0.0192
84,30.8702,75.9416,Punjab,Ludhiana,alluvial,2022-05-08,7.73,187.4,18.76,359.2,0.48,1.41,32.6,60.5,23.0,16.6,10.0,0.38,0.0455,0.0679,0.1044,0.1506,0.0882,0.0362,0.1812,0.0918,-0.0898
85,30.9362,75.9264,Punjab,Ludhiana,alluvial,2023-11-28,6.56,257.3,18.68,339.2,0.35,1.52,22.8,36.1,43.8,20.1,13.92,0.32,0.0549,0.0848,0.1134,0.1763,0.1574,0.0792,0.2171,0.1195,0.0275
86,30.8737,75.8074,Punjab,Ludhiana,alluvial,2024-04-20,7.71,249.2,13.98,222.3,0.74,1.49,29.8,45.4,33.3,21.3,14.87,0.16,0.0474,0.0688,0.0909,0.1364,0.0924,0.0414,0.2002,0.0938,-0.0828
87,30.9915,75.8401,Punjab,Ludhiana,alluvial,2025-11-23,6.46,260.0,17.72,256.5,0.57,1.53,37.1,50.3,27.0,22.7,16.5,0.3,0.047,0.0618,0.0894,0.1221,0.0582,0.0148,0.1546,0.0689,-0.1558
88,30.9358,75.7605,Punjab,Ludhiana,alluvial,2022-11-03,7.32,288.3,14.19,475.4,0.34,1.47,32.1,31.4,40.7,27.9,16.34,0.38,0.048,0.0798,0.0987,0.1327,0.0941,0.0378,0.1469,0.0697,-0.0491
89,30.862,75.8812,Punjab,Ludhiana,alluvial,2023-12-05,8.05,272.4,10.56,224.5,0.45,1.55,25.1,43.5,30.3,26.2,15.95,0.43,0.0565,0.0784,0.1137,0.1609,0.1351,0.0604,0.1719,0.0914,0.0161
90,30.9292,75.8347,Punjab,Ludhiana,alluvial,2024-11-01,7.77,267.3,22.09,421.6,0.57,1.56,28.3,40.8,25.4,33.8,20.0,0.31,0.047,0.0756,0.0962,0.1496,0.1144,0.0441,0.2172,0.1074,-0.0432
91,30.967,75.9267,Punjab,Ludhiana,alluvial,2025-04-22,6.79,223.1,9.31,453.3,0.46,1.38,35.9,37.5,43.9,18.6,10.0,0.38,0.0509,0.0644,0.0961,0.1311,0.0652,0.0146,0.154,0.0722,-0.1337
92,30.9353,75.7975,Punjab,Ludhiana,alluvial,2022-12-20,7.82,178.8,21.75,249.7,0.45,1.48,27.5,34.6,35.1,30.3,19.31,0.27,0.0555,0.0779,0.1071,0.1544,0.1218,0.0543,0.1809,0.0932,-0.0119
93,30.8923,75.8064,Punjab,Ludhiana,alluvial,2023-12-17,7.79,198.4,22.2,310.4,0.43,1.63,29.9,45.7,24.3,30.0,16.91,0.45,0.0581,0.0796,0.1061,0.1488,0.1071,0.0429,0.1675,0.0848,-0.0353
94,30.9702,75.807,Punjab,Ludhiana,alluvial,2024-05-09,6.82,177.0,22.86,366.4,0.54,1.38,35.4,58.6,7.1,34.3,20.0,0.4,0.0487,0.068,0.095,0.1378,0.079,0.0172,0.1838,0.0876,-0.1118
95,30.8772,75.7663,Punjab,Ludhiana,alluvial,2025-05-01,7.79,281.8,23.82,324.5,0.5,1.47,22.7,59.1,15.6,25.3,17.47,0.26,0.0624,0.0826,0.1026,0.1759,0.1358,0.0732,0.2632,0.1412,-0.0354
96,30.9231,75.9312,Punjab,Ludhiana,alluvial,2022-04-09,6.48,176.5,16.03,449.3,0.44,1.58,25.9,55.0,28.0,17.0,12.5,0.29,0.0552,0.091,0.1118,0.1679,0.1384,0.0542,0.2006,0.1079,0.0046
97,30.8126,75.9173,Punjab,Ludhiana,alluvial,2023-12-20,7.74,213.2,10.07,271.5,0.4,1.54,30.1,62.9,19.1,18.0,10.0,0.34,0.0544,0.0836,0.099,0.1603,0.1145,0.0448,0.2364,0.1211,-0.0591
98,30.8721,75.9407,Punjab,Ludhiana,alluvial,2024-04-13,6.39,198.0,17.7,256.2,0.54,1.55,33.4,50.1,22.2,27.6,15.55,0.31,0.0508,0.0828,0.0961,0.1352,0.0838,0.0234,0.169,0.0802,-0.0893
99,30.9513,75.7767,Punjab,Ludhiana,alluvial,2025-11-18,6.97,264.3,12.1,397.1,0.69,1.38,27.6,43.5,40.6,15.9,10.0,0.32,0.0528,0.0688,0.0977,0.1483,0.1123,0.05,0.2057,0.1017,-0.0418
100,30.8403,75.9082,Punjab,Ludhiana,alluvial,2022-04-11,7.22,290.1,10.29,414.8,0.45,1.63,32.4,59.1,13.1,27.9,14.13,0.16,0.0551,0.0724,0.0985,0.1377,0.0932,0.0356,0.166,0.0799,-0.0635
101,30.8249,75.8236,Punjab,Ludhiana,alluvial,2023-12-24,7.64,196.1,14.07,434.3,0.72,1.61,31.2,64.6,10.1,25.3,14.25,0.25,0.0503,0.0652,0.0974,0.1466,0.091,0.0419,0.2016,0.0992,-0.092
102,30.999,75.7861,Punjab,Ludhiana,alluvial,2024-11-11,7.02,251.9,12.53,224.8,0.5,1.48,24.8,41.9,24.0,34.1,20.0,0.28,0.0502,0.0748,0.0992,0.1757,0.1348,0.0637,0.2783,0.1481,-0.0443
103,30.887,75.8779,Punjab,Ludhiana,alluvial,2025-04-03,6.71,251.7,15.6,418.0,0.35,1.62,27.5,40.3,38.1,21.6,12.23,0.33,0.0563,0.0767,0.122,0.1629,0.1301,0.0639,0.1436,0.0782,0.0186
104,30.929,75.8224,Punjab,Ludhiana,alluvial,2022-04-20,6.43,181.1,19.53,331.5,0.6,1.39,33.9,48.0,28.9,23.1,16.6,0.22,0.0483,0.07,0.0879,0.1322,0.0911,0.0316,0.2013,0.0923,-0.0849
105,30.8372,75.8535,Punjab,Ludhiana,alluvial,2023-04-09,6.66,165.9,13.34,283.6,0.37,1.64,27.7,43.0,33.0,24.0,13.11,0.16,0.062,0.0785,0.1032,0.1607,0.1269,0.0636,0.2179,0.1129,-0.0225
